pause0.02,pause0.03,pause0.031,pause0.032,pause0.033,pause0.035,pause0.04,pause0.043,pause0.045,pause0.047,pause0.05,pause0.2,pause0.1
2504.0,99.0,1026.0,,,,,,,,,,
5306.0,66.0,995.0,35.0,,,,47.0,49.0,49.0,53.0,203.0,101.0
,68.0,1269.0,36.0,34.0,33.0,,44.0,48.0,50.0,,201.0,102.0
,68.0,1268.0,33.0,36.0,40.0,43.0,45.0,49.0,51.0,52.0,200.0,102.0
,65.0,1272.0,35.0,36.0,38.0,41.0,47.0,51.0,50.0,52.0,201.0,102.0
,65.0,1283.0,,35.0,41.0,41.0,46.0,47.0,48.0,54.0,202.0,102.0
,67.0,1274.0,36.0,33.0,38.0,42.0,,46.0,48.0,52.0,202.0,103.0
,66.0,1272.0,34.0,36.0,36.0,42.0,47.0,46.0,49.0,52.0,,101.0
,99.0,1276.0,36.0,33.0,37.0,40.0,49.0,49.0,50.0,52.0,,101.0
,99.0,1275.0,35.0,34.0,38.0,40.0,44.0,49.0,49.0,53.0,,102.0
,166.0,1402.0,34.0,35.0,36.0,41.0,44.0,47.0,49.0,53.0,,103.0
,266.0,1436.0,35.0,35.0,36.0,42.0,45.0,47.0,49.0,51.0,,102.0
,468.0,1974.0,33.0,32.0,40.0,43.0,43.0,49.0,50.0,53.0,,100.0
,736.0,1974.0,34.0,35.0,38.0,40.0,46.0,48.0,49.0,53.0,,104.0
,1172.0,1974.0,35.0,35.0,38.0,41.0,46.0,49.0,51.0,52.0,,103.0
,1638.0,1976.0,34.0,33.0,36.0,40.0,47.0,49.0,47.0,,,102.0
,2070.0,1974.0,36.0,34.0,36.0,40.0,44.0,45.0,48.0,,,102.0
,2275.0,1974.0,35.0,36.0,36.0,42.0,46.0,45.0,48.0,,,103.0
,2945.0,1974.0,34.0,36.0,38.0,41.0,47.0,49.0,50.0,,,101.0
,3750.0,1975.0,33.0,35.0,39.0,39.0,48.0,48.0,49.0,,,103.0
,4454.0,1975.0,35.0,36.0,36.0,41.0,44.0,49.0,48.0,,,101.0
,4758.0,1975.0,,35.0,39.0,41.0,47.0,48.0,48.0,,,103.0
,5327.0,1978.0,35.0,36.0,38.0,43.0,45.0,46.0,48.0,,,103.0
,5769.0,1977.0,35.0,35.0,40.0,42.0,44.0,48.0,49.0,,,104.0
,6206.0,1974.0,35.0,33.0,37.0,42.0,45.0,45.0,49.0,,,100.0
,,1976.0,35.0,33.0,38.0,41.0,45.0,46.0,50.0,,,103.0
,,1980.0,34.0,36.0,38.0,41.0,44.0,47.0,52.0,,,101.0
,,1980.0,34.0,37.0,36.0,42.0,45.0,47.0,52.0,,,105.0
,,1976.0,36.0,37.0,38.0,42.0,46.0,47.0,49.0,,,103.0
,,1977.0,36.0,35.0,37.0,42.0,46.0,49.0,49.0,,,
,,1979.0,35.0,,38.0,43.0,43.0,48.0,51.0,,,
,,1981.0,35.0,,40.0,41.0,46.0,46.0,51.0,,,
,,1978.0,34.0,,38.0,41.0,45.0,45.0,50.0,,,
,,2012.0,35.0,,36.0,40.0,47.0,47.0,47.0,,,
,,2347.0,36.0,,,41.0,47.0,,,,,
,,2346.0,36.0,,,41.0,44.0,47.0,,,,
,,2344.0,35.0,,,39.0,45.0,47.0,,,,
,,2345.0,34.0,,,39.0,44.0,46.0,,,,
,,2342.0,34.0,,,,45.0,47.0,,,,
,,2345.0,,,,,44.0,48.0,,,,
,,2375.0,34.0,,,,44.0,48.0,,,,
,,2510.0,34.0,,,,43.0,,,,,
,,,33.0,,,,47.0,,,,,
,,,35.0,,,,45.0,,,,,
,,,35.0,,,,43.0,,,,,
,,,33.0,,,,,,,,,
,,,35.0,,,,,,,,,
,,,35.0,,,,,,,,,
,,,34.0,,,,,,,,,
,,,33.0,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
