10 ms,50 ms,100 ms
33.0,38,39.0
35.0,32,34.0
33.0,34,34.0
35.0,35,36.0
34.0,34,33.0
33.0,34,33.0
35.0,33,33.0
32.0,33,33.0
35.0,35,33.0
33.0,34,33.0
32.0,34,34.0
33.0,33,33.0
36.0,35,34.0
32.0,32,67.0
67.0,35,33.0
32.0,33,34.0
34.0,33,34.0
66.0,34,35.0
35.0,67,32.0
32.0,37,34.0
33.0,31,66.0
34.0,33,34.0
34.0,66,33.0
67.0,34,33.0
32.0,35,34.0
34.0,32,33.0
33.0,33,67.0
33.0,33,33.0
34.0,67,33.0
67.0,33,33.0
34.0,32,33.0
34.0,34,66.0
32.0,33,35.0
34.0,67,32.0
68.0,33,34.0
35.0,32,33.0
33.0,33,34.0
32.0,66,68.0
34.0,34,33.0
65.0,33,35.0
33.0,34,32.0
34.0,65,34.0
66.0,33,66.0
33.0,33,33.0
33.0,34,35.0
33.0,66,32.0
33.0,33,67.0
34.0,33,33.0
65.0,33,34.0
35.0,32,34.0
34.0,67,34.0
32.0,33,33.0
34.0,34,66.0
67.0,33,33.0
33.0,33,33.0
34.0,34,34.0
32.0,67,68.0
67.0,34,33.0
33.0,34,33.0
35.0,33,33.0
34.0,33,33.0
32.0,67,67.0
34.0,32,34.0
33.0,34,33.0
66.0,33,33.0
32.0,34,66.0
34.0,34,34.0
33.0,67,33.0
65.0,33,33.0
35.0,36,33.0
32.0,66,33.0
33.0,32,66.0
67.0,34,34.0
33.0,34,33.0
34.0,32,34.0
32.0,34,33.0
67.0,65,66.0
33.0,33,34.0
33.0,35,34.0
35.0,34,34.0
32.0,34,67.0
34.0,32,33.0
68.0,66,33.0
35.0,34,34.0
33.0,34,34.0
34.0,32,33.0
66.0,33,34.0
34.0,68,66.0
32.0,32,35.0
33.0,33,33.0
34.0,34,35.0
34.0,66,67.0
66.0,33,34.0
33.0,33,33.0
34.0,34,33.0
33.0,66,34.0
33.0,33,33.0
67.0,35,67.0
35.0,32,33.0
32.0,35,35.0
68.0,34,32.0
33.0,70,33.0
33.0,32,34.0
35.0,34,67.0
34.0,32,33.0
33.0,34,34.0
33.0,34,33.0
67.0,100,68.0
34.0,34,33.0
34.0,32,33.0
34.0,36,35.0
33.0,31,32.0
67.0,33,67.0
34.0,34,34.0
32.0,33,33.0
34.0,33,34.0
66.0,33,34.0
33.0,68,32.0
35.0,33,66.0
33.0,35,36.0
34.0,33,31.0
33.0,34,34.0
67.0,32,66.0
34.0,69,33.0
33.0,33,33.0
34.0,34,32.0
33.0,34,34.0
66.0,67,67.0
32.0,34,33.0
33.0,35,34.0
34.0,33,34.0
33.0,33,35.0
33.0,35,34.0
68.0,69,65.0
34.0,31,33.0
34.0,34,33.0
33.0,35,35.0
67.0,32,33.0
35.0,34,66.0
33.0,66,33.0
33.0,34,33.0
36.0,36,34.0
64.0,31,66.0
34.0,67,37.0
34.0,34,31.0
36.0,33,33.0
30.0,34,35.0
34.0,34,67.0
65.0,33,33.0
34.0,69,33.0
33.0,33,33.0
32.0,33,35.0
69.0,33,32.0
33.0,33,67.0
33.0,67,34.0
33.0,34,32.0
34.0,33,33.0
33.0,34,68.0
67.0,66,33.0
33.0,33,34.0
33.0,34,67.0
33.0,33,34.0
33.0,33,33.0
65.0,34,35.0
35.0,34,33.0
40.0,68,35.0
29.0,66,33.0
34.0,33,67.0
34.0,34,33.0
66.0,34,33.0
33.0,35,34.0
33.0,34,34.0
66.0,32,33.0
32.0,36,67.0
34.0,31,34.0
34.0,67,34.0
33.0,34,68.0
33.0,34,34.0
68.0,33,32.0
33.0,34,34.0
34.0,67,34.0
35.0,33,34.0
66.0,34,34.0
33.0,32,91.0
33.0,67,33.0
34.0,35,34.0
34.0,33,34.0
34.0,34,34.0
67.0,32,34.0
34.0,35,33.0
35.0,67,66.0
32.0,33,37.0
69.0,33,
34.0,35,
34.0,68,
33.0,34,
33.0,35,
68.0,34,
34.0,32,
34.0,34,
33.0,65,
35.0,34,
35.0,34,
32.0,33,
33.0,33,
67.0,68,
32.0,34,
,33,
,34,
,34,
,33,
,67,
,34,
,32,
,34,
,35,
,33,
,68,
,33,
,34,
,34,
,32,
,67,
,34,
,32,
,34,
,67,
,35,
,34,
,34,
,35,
,33,
,66,
,35,
,32,
,33,
,35,
,34,
,66,
,34,
,36,
,32,
,65,
,35,
,34,
,33,
,34,
,34,
,66,
,34,
,34,
,33,
,35,
,66,
,33,
,33,
,35,
,68,
,33,
,34,
,33,
,34,
,34,
,66,
,34,
,34,
,34,
,65,
,34,
,32,
,34,
,34,
,33,
,32,
,68,
,35,
,34,
,32,
,34,
,35,
,66,
,33,
,34,
,33,
,34,
,68,
,33,
,34,
,34,
,68,
,33,
,34,
,34,
,34,
,34,
,67,
,34,
,33,
,33,
,66,
,34,
,32,
,66,
,34,
,33,
,35,
,35,
,31,
,34,
,33,
,67,
,34,
,34,
,35,
,67,
